Month,Leads scraped,DataSkip lookups,Emails found,Sites built,Emails sent,Postcards,New customers,Active customers,Setup fees,Monthly fees,Gross revenue,Stripe fees,Net revenue,Total costs,Profit for month,Cumulative cash
Oct 2026,18000,1000,777,777,777,0,7.77,7.77,8352.75,541.57,8894.32,-262.6,8631.72,-428.5,8203.22,7919.71
Nov 2026,18000,1000,777,777,777,0,7.77,15.31,8352.75,1066.89,9419.64,-280.09,9139.55,-428.5,8711.05,16630.76
Dec 2026,18000,1000,777,777,777,0,7.77,22.62,8352.75,1576.45,9929.2,-297.06,9632.14,-428.5,9203.64,25834.4
Jan 2027,18000,1000,777,777,777,0,7.77,29.71,8352.75,2070.73,10423.48,-313.52,10109.95,-428.5,9681.45,35515.85
Feb 2027,18000,1000,777,777,777,0,7.77,36.59,8352.75,2550.18,10902.93,-329.49,10573.43,-428.5,10144.93,45660.79
Mar 2027,18000,1000,777,777,777,0,7.77,43.26,8352.75,3015.24,11367.99,-344.98,11023.01,-428.5,10594.51,56255.3
Apr 2027,18000,1000,777,777,777,0,7.77,49.73,8352.75,3466.35,11819.1,-360.0,11459.1,-428.5,11030.6,67285.89
May 2027,18000,1000,777,777,777,0,7.77,56.01,8352.75,3903.93,12256.68,-374.58,11882.1,-428.5,11453.6,78739.49
Jun 2027,18000,1000,777,777,777,0,7.77,62.1,8352.75,4328.38,12681.13,-388.71,12292.42,-428.5,11863.92,90603.41
Jul 2027,18000,1000,777,777,777,0,7.77,68.01,8352.75,4740.1,13092.85,-402.43,12690.42,-428.5,12261.92,102865.33
Aug 2027,18000,1000,777,777,777,0,7.77,73.74,8352.75,5139.46,13492.21,-415.73,13076.49,-428.5,12647.99,115513.32
Sep 2027,18000,1000,777,777,777,0,7.77,79.29,8352.75,5526.85,13879.6,-428.63,13450.97,-428.5,13022.47,128535.79
Oct 2027,18000,1000,777,777,777,0,7.77,84.69,8352.75,5902.61,14255.36,-441.14,13814.22,-428.5,13385.72,141921.52
Nov 2027,18000,1000,777,777,777,0,7.77,89.92,8352.75,6267.1,14619.85,-453.28,14166.57,-428.5,13738.07,155659.59
Dec 2027,18000,1000,777,777,777,0,7.77,94.99,8352.75,6620.66,14973.41,-465.06,14508.35,-428.5,14079.85,169739.44
Jan 2028,18000,1000,777,777,777,0,7.77,99.91,8352.75,6963.61,15316.36,-476.48,14839.88,-428.5,14411.38,184150.82
Feb 2028,18000,1000,777,777,777,0,7.77,104.68,8352.75,7296.27,15649.02,-487.56,15161.46,-428.5,14732.96,198883.78
Mar 2028,18000,1000,777,777,777,0,7.77,109.31,8352.75,7618.95,15971.7,-498.3,15473.4,-428.5,15044.9,213928.68
Apr 2028,18000,1000,777,777,777,0,7.77,113.8,8352.75,7931.95,16284.7,-508.73,15775.97,-428.5,15347.47,229276.15
May 2028,18000,1000,777,777,777,0,7.77,118.16,8352.75,8235.56,16588.31,-518.84,16069.47,-428.5,15640.97,244917.13
Jun 2028,18000,1000,777,777,777,0,7.77,122.38,8352.75,8530.06,16882.81,-528.65,16354.17,-428.5,15925.67,260842.79
Jul 2028,18000,1000,777,777,777,0,7.77,126.48,8352.75,8815.73,17168.48,-538.16,16630.32,-428.5,16201.82,277044.61
Aug 2028,18000,1000,777,777,777,0,7.77,130.46,8352.75,9092.83,17445.58,-547.39,16898.19,-428.5,16469.69,293514.3
Sep 2028,18000,1000,777,777,777,0,7.77,134.31,8352.75,9361.61,17714.36,-556.34,17158.02,-428.5,16729.52,310243.82
